"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","64123","7443","QUIC","1232","Initial","Long Header","0","0","Initial, DCID=f8c5d10f8eb9ea05ea8a8e582c60405c7242cc04, SCID=964cddd547b7bfd37850a1a9664c070575324606, PKN: 0, CRYPTO, PADDING"
"2","0.001260","7443","64123","QUIC","1284","Initial,Handshake","Long Header,Long Header","0","0","Handshake, DCID=964cddd547b7bfd37850a1a9664c070575324606, SCID=1486fb8f"
"3","0.001363","7443","64123","QUIC","288","Handshake","Long Header,Short Header","0","0","Protected Payload (KP0), DCID=964cddd547b7bfd37850a1a9664c070575324606"
"4","0.004858","64123","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"5","0.004901","64123","7443","QUIC","1438","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"6","0.005571","7443","64123","QUIC","88","Handshake","Long Header","0","0","Handshake, DCID=964cddd547b7bfd37850a1a9664c070575324606, SCID=1486fb8f"
"7","0.005804","7443","64123","QUIC","77","","Short Header","0","0","Protected Payload (KP0), DCID=964cddd547b7bfd37850a1a9664c070575324606"
"8","0.005962","7443","64123","QUIC","353","","Short Header","","0","Protected Payload (KP0)"
"9","0.010449","64123","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"10","0.011085","7443","64123","QUIC","149","","Short Header","","0","Protected Payload (KP0)"
"11","0.011894","64123","7443","QUIC","1476","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"12","0.011937","64123","7443","QUIC","99","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"13","0.012116","7443","64123","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"14","0.012188","7443","64123","QUIC","80","","Short Header","","0","Protected Payload (KP0)"
"15","0.013639","64123","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"16","0.015602","64123","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"17","0.015866","7443","64123","QUIC","149","","Short Header","","0","Protected Payload (KP0)"
"18","0.018275","64123","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"19","0.018450","7443","64123","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"20","0.018501","7443","64123","QUIC","74","","Short Header","","0","Protected Payload (KP0)"
"21","0.020203","64123","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"22","0.020501","7443","64123","QUIC","149","","Short Header","","0","Protected Payload (KP0)"
"23","0.026721","64123","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"24","0.026946","7443","64123","QUIC","1459","","Short Header","","0","Protected Payload (KP0)"
"25","0.027004","7443","64123","QUIC","74","","Short Header","","0","Protected Payload (KP0)"
"26","0.028899","64123","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
"27","0.029304","64123","7443","QUIC","58","","Short Header","0","0","Protected Payload (KP0), DCID=1486fb8f"
